# [day-month-year] @ip -> [Tentative connexion / connexion réussie / connexion échouée]
[16-05-2022 18:49:45] 127.0.0.1 Connexion refusée pour l'utilisateur : 't.t@f' 
[16-05-2022 19:03:34] 127.0.0.1 Connexion réussie pour l'utilisateur : 'admin@admin.fr' [statut :admin] 
[16-05-2022 19:06:44] 127.0.0.1 Connexion réussie pour l'utilisateur : 'admin@admin.fr' [statut :admin] 
[17-05-2022 08:03:58] 127.0.0.1 Connexion refusée pour l'utilisateur : 'test@iziram.fr' 
[17-05-2022 08:04:10] 127.0.0.1 Connexion réussie pour l'utilisateur : 'admin@admin.fr' [statut :admin] 
[17-05-2022 11:39:47] 127.0.0.1 Connexion réussie pour l'utilisateur : 'admin@admin.fr' [statut :admin] 
[17-05-2022 11:41:17] 127.0.0.1 Connexion réussie pour l'utilisateur : 'admin@admin.fr' [statut :admin] 
[18-05-2022 10:11:46] 127.0.0.1 Connexion réussie pour l'utilisateur : 'admin@admin.fr' [statut :admin] 
[20-05-2022 15:22:56] 127.0.0.1 Connexion réussie pour l'utilisateur : 'admin@admin.fr' [statut :admin] 
[20-05-2022 15:24:04] 127.0.0.1 Connexion réussie pour l'utilisateur : 'admin@admin.fr' [statut :admin] 
[20-05-2022 15:34:53] ::1 Connexion réussie pour l'utilisateur : 'admin@admin.fr' [statut :admin] 
[20-05-2022 15:57:27] ::1 Connexion réussie pour l'utilisateur : 'admin@admin.fr' [statut :admin] 
